WKT,name,description
"POINT (144.9640903 -37.8139934)",Point 225,
"POINT (144.9713358 -37.807833)",Point 226,
"POINT (144.9598842 -37.8140993)",Point 227,
"POINT (144.9594282 -37.8131161)",Point 228,
"POINT (144.957888 -37.8179876)",Point 229,
"POINT (144.9576228 -37.8093069)",Point 230,
"POINT (144.957773 -37.8095155)",Point 231,
"POINT (144.9565403 -37.8092062)",Point 232,
"POINT (144.9594533 -37.8072444)",Point 233,
"POINT (144.959185 -37.8066426)",Point 234,
"POINT (144.9595981 -37.8065324)",Point 235,
"POINT (144.9681951 -37.8171842)",Point 236,
"POINT (144.9548448 -37.8155206)",Point 237,
"POINT (144.9605494 -37.8105438)",Point 238,
