traffic,temperture,relative_humidity,wind_direction,wind_speed,pressure,condition,EPA,PM
3493,57,0.82,8,12,29.62,1,3.717,5.017
4112,66,0.94,5,6,29.01,2,3.45,10.85
7079,61,0.48,1,20,29.77,1,9.483,9.383
7109,64,0.64,1,15,29.54,1,8.4,4.9
4350.0,52,0.76,7,10,29.51,5,5.1,4.625
4772,73,0.5,11,20,29.42,1,8.55,2.35
4800.0,52,0.76,7,10,29.51,5,5.1,3.111
4131,68,0.88,11,5,29.01,2,10.85,5.067
7879,59,0.59,8,16,29.54,1,2.05,2.45
5151,57,0.77,3,14,29.62,1,2.283,2.917
2820.0,52,0.76,7,10,29.51,5,5.1,15.0
6365,66,0.6,6,7,29.77,2,12.133,7.65
1354,63,0.88,4,6,29.62,2,17.367,10.1
6867,91,0.16,12,12,29.3,2,17.983,18.333
7541,63,0.48,2,17,29.54,4,7.217,9.517
6477,55,0.63,11,7,29.33,2,3.133,3.983
1980.0,52,0.76,7,10,29.51,5,5.1,15.333
8580,63,0.42,6,20,29.3,2,7.2,5.267
3425,79,0.39,9,12,29.48,2,5.717,4.333
7013,82,0.37,2,8,29.36,2,11.217,13.017
9082,77,0.44,1,14,29.33,2,9.483,7.567
6499,91,0.28,1,13,29.51,2,13.233,7.089
3229,61,0.88,3,5,29.42,1,7.117,9.633
7555,77,0.5,14,10,29.51,2,2.733,6.767
6150,59,0.94,7,7,29.65,2,14.383,4.467
6172,82,0.26,5,9,29.22,2,4.833,7.317
3810.0,52,0.76,7,10,29.51,5,5.1,5.0
8342,64,0.42,1,20,29.74,4,0.95,9.967
1080.0,52,0.76,7,10,29.51,5,5.1,2.0
7443,64,0.49,4,20,29.48,4,5.5,9.517
5441,72,0.43,2,18,29.74,2,6.633,1.417
3390.0,52,0.76,7,10,29.51,5,5.1,7.444
3930.0,52,0.76,7,10,29.51,5,5.1,9.0
7904,72,0.53,3,12,29.45,1,2.917,7.4
5616,95,0.2,14,5,29.33,2,9.383,11.467
6714,64,0.59,6,22,29.48,12,6.2,2.833
664,54,0.94,4,5,29.42,1,13.483,4.983
6174,63,0.63,6,20,29.51,1,0.35,0.733
4044,97,0.17,11,5,29.19,2,9.867,2.733
2291,70,0.53,11,14,29.42,2,9.083,11.817
